Attrition,Employee Number,emp no,Gender,Job Role,Over Time,Job Satisfaction,Years At Company,Education,Environment Satisfaction,Hourly Rate,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,493,STAFF-493,Male,Research Scientist,Yes,2,2,Master's Degree,3,42,1,2,2657,7551,0,16,3,4,80,0,3,3,2,2,2,2
Yes,494,STAFF-494,Female,Sales Representative,No,2,1,Bachelor's Degree,3,90,1,2,2716,25422,1,15,3,4,80,0,1,3,1,0,0,0
No,495,STAFF-495,Male,Research Scientist,No,4,3,Bachelor's Degree,4,54,1,4,2201,18168,9,16,3,4,80,0,6,3,3,2,1,2
No,496,STAFF-496,Male,Healthcare Representative,No,2,1,Master's Degree,3,97,2,2,6540,19394,9,19,3,3,80,0,10,3,1,1,0,0
No,497,STAFF-497,Male,Laboratory Technician,No,2,5,Associates Degree,4,82,1,2,3816,17881,1,11,3,2,80,1,5,3,5,2,0,4
No,498,STAFF-498,Male,Sales Executive,No,4,7,Master's Degree,2,92,2,4,5253,20750,1,16,3,4,80,0,7,3,7,5,0,7
No,499,STAFF-499,Male,Healthcare Representative,No,3,5,Bachelor's Degree,2,31,3,3,10965,12066,8,24,4,3,80,0,26,3,5,2,0,0
No,500,STAFF-500,Female,Sales Executive,No,4,7,Associates Degree,3,87,2,4,4936,14862,4,11,3,3,80,1,18,2,7,7,0,7
No,501,STAFF-501,Female,Research Scientist,No,3,2,Bachelor's Degree,4,96,1,3,2543,11868,4,13,3,2,80,1,6,3,2,2,2,2
Yes,502,STAFF-502,Male,Sales Executive,Yes,4,5,Bachelor's Degree,1,67,2,4,5304,4652,8,13,3,2,80,0,9,2,5,2,0,4
No,505,STAFF-505,Female,Manager,Yes,4,5,Bachelor's Degree,3,97,4,4,16659,23258,2,13,3,3,80,0,30,3,5,4,1,2
No,507,STAFF-507,Female,Sales Executive,Yes,3,5,Master's Degree,4,77,2,3,4260,5915,1,12,3,4,80,1,5,4,5,2,0,3
No,508,STAFF-508,Male,Sales Representative,No,2,1,High School,3,72,1,2,2476,17434,1,18,3,1,80,1,1,3,1,0,0,0
Yes,510,STAFF-510,Male,Research Scientist,No,1,6,High School,3,73,1,1,3102,6582,0,22,4,3,80,0,7,3,6,4,0,4
No,511,STAFF-511,Female,Research Scientist,No,2,2,Bachelor's Degree,1,43,1,2,2244,24440,1,13,3,4,80,1,2,3,2,1,1,2
No,513,STAFF-513,Male,Sales Executive,No,3,10,Associates Degree,2,61,3,3,7596,3809,1,13,3,2,80,2,10,3,10,9,9,0
Yes,514,STAFF-514,Male,Research Scientist,Yes,4,1,Bachelor's Degree,3,40,1,4,2285,3427,9,23,4,3,80,0,3,3,1,0,0,0
No,515,STAFF-515,Female,Laboratory Technician,No,1,18,Bachelor's Degree,4,95,1,1,3034,26914,1,12,3,3,80,1,18,2,18,7,12,17
No,516,STAFF-516,Female,Sales Executive,No,2,5,Associates Degree,4,46,2,2,5715,22553,7,12,3,3,80,2,8,3,5,4,1,3
No,517,STAFF-517,Female,Laboratory Technician,No,1,5,Master's Degree,2,95,1,1,2576,20490,3,16,3,2,80,1,8,3,5,2,1,2
No,518,STAFF-518,Male,Manufacturing Director,Yes,2,1,Master's Degree,3,49,2,2,4197,21123,2,12,3,4,80,0,18,2,1,0,0,1
No,520,STAFF-520,Male,Research Director,No,2,25,Bachelor's Degree,1,59,4,2,14336,4345,1,11,3,3,80,1,25,3,25,10,3,9
No,521,STAFF-521,Female,Laboratory Technician,No,3,1,Bachelor's Degree,2,78,2,3,3448,13436,6,22,4,2,80,1,20,3,1,0,0,0
No,522,STAFF-522,Male,Research Director,No,1,4,Associates Degree,1,86,5,1,19406,8509,4,11,3,3,80,1,24,2,4,2,1,2
No,523,STAFF-523,Female,Sales Executive,No,3,3,Master's Degree,3,72,2,3,6538,12740,9,15,3,1,80,1,6,3,3,2,1,2
No,524,STAFF-524,Female,Manufacturing Director,No,1,13,Associates Degree,2,31,2,1,4306,4156,1,12,3,2,80,1,13,1,13,10,3,12
No,525,STAFF-525,Male,Laboratory Technician,No,4,3,Bachelor's Degree,4,61,1,4,2258,15238,7,20,4,1,80,1,8,3,3,2,1,2
No,526,STAFF-526,Female,Healthcare Representative,Yes,3,5,Master's Degree,3,74,2,3,4522,2227,4,14,3,4,80,0,8,3,5,2,0,2
No,527,STAFF-527,Female,Sales Executive,Yes,4,5,Associates Degree,2,99,2,4,4487,12090,1,11,3,2,80,0,5,3,5,4,1,3
No,529,STAFF-529,Female,Research Scientist,Yes,3,13,Doctoral Degree,2,72,2,3,4449,23866,3,15,3,1,80,2,15,3,13,11,10,7
No,530,STAFF-530,Male,Laboratory Technician,No,1,4,Associates Degree,4,98,1,1,2218,16193,1,12,3,3,80,1,4,3,4,2,3,2
No,531,STAFF-531,Male,Manager,Yes,3,21,High School,2,52,5,3,19197,8213,1,14,3,3,80,1,21,3,21,8,1,6
No,532,STAFF-532,Female,Sales Executive,No,1,7,Bachelor's Degree,3,86,4,1,13212,18256,9,11,3,4,80,3,36,2,7,7,7,7
No,533,STAFF-533,Female,Sales Executive,No,3,5,Bachelor's Degree,2,83,2,3,6577,19558,0,11,3,2,80,0,6,3,5,4,4,4
No,534,STAFF-534,Male,Sales Executive,No,1,10,Bachelor's Degree,2,49,3,1,8392,19566,1,16,3,3,80,1,10,3,10,7,0,7
No,536,STAFF-536,Male,Laboratory Technician,No,1,10,Associates Degree,3,79,2,1,4558,13535,1,12,3,4,80,1,10,3,10,0,1,8
Yes,538,STAFF-538,Male,Laboratory Technician,No,1,2,Bachelor's Degree,1,91,1,1,4031,9396,5,13,3,3,80,1,6,3,2,2,0,2
No,543,STAFF-543,Male,Manufacturing Director,Yes,3,5,Bachelor's Degree,4,39,3,3,7969,19609,2,14,3,3,80,0,28,3,5,4,0,4
No,544,STAFF-544,Male,Research Scientist,No,4,2,Associates Degree,1,69,1,4,2654,9655,3,21,4,4,80,2,8,2,2,2,0,2
No,546,STAFF-546,Female,Manager,No,4,5,Associates Degree,4,30,4,4,16555,10310,2,13,3,4,80,0,31,1,5,2,1,4
No,547,STAFF-547,Female,Research Scientist,No,3,5,Associates Degree,1,92,2,3,4556,12932,2,11,3,2,80,1,19,3,5,4,0,2
No,548,STAFF-548,Female,Manufacturing Director,No,4,5,Bachelor's Degree,3,43,2,4,6091,24793,2,20,4,3,80,0,11,3,5,4,0,2
No,549,STAFF-549,Female,Manager,No,1,29,Bachelor's Degree,1,41,5,1,19566,3854,5,11,3,4,80,0,33,1,29,8,11,10
No,550,STAFF-550,Female,Manufacturing Director,No,3,10,Bachelor's Degree,3,87,2,3,4810,26314,2,14,3,3,80,1,19,2,10,7,0,8
No,551,STAFF-551,Female,Healthcare Representative,No,4,6,Master's Degree,4,88,2,4,4523,4386,0,11,3,4,80,3,7,4,6,5,0,4
Yes,554,STAFF-554,Female,Sales Representative,Yes,2,5,High School,1,62,1,2,3202,21972,1,16,3,2,80,0,6,3,5,3,1,4
Yes,555,STAFF-555,Female,Sales Representative,No,3,2,Associates Degree,4,33,1,3,2351,12253,0,16,3,4,80,1,3,2,2,2,1,0
No,556,STAFF-556,Male,Laboratory Technician,Yes,4,1,Associates Degree,4,42,1,4,1702,12106,1,23,4,3,80,1,1,3,1,0,0,0
No,558,STAFF-558,Female,Manager,No,3,20,Master's Degree,3,79,5,3,18041,13022,0,14,3,4,80,0,21,3,20,15,1,12
No,560,STAFF-560,Female,Research Scientist,No,4,3,Bachelor's Degree,1,90,1,4,2886,3032,1,22,4,2,80,2,3,1,3,2,0,2
No,562,STAFF-562,Male,Laboratory Technician,No,4,5,Bachelor's Degree,3,53,1,4,2097,16734,4,15,3,3,80,1,9,1,5,3,1,4
No,564,STAFF-564,Male,Research Director,No,3,10,Master's Degree,2,93,3,3,11935,21526,1,18,3,3,80,0,10,3,10,2,0,7
Yes,565,STAFF-565,Female,Research Scientist,No,2,2,Doctoral Degree,3,71,1,2,2546,18300,5,16,3,2,80,0,6,4,2,2,1,1
Yes,566,STAFF-566,Male,Human Resources,No,4,1,Associates Degree,1,52,1,4,2564,18437,1,12,3,3,80,0,1,4,1,0,0,0
No,567,STAFF-567,Female,Sales Executive,No,1,9,Master's Degree,3,69,3,1,8412,2890,0,11,3,3,80,0,10,3,9,8,7,8
No,568,STAFF-568,Male,Manager,No,4,1,Bachelor's Degree,1,56,4,4,14118,22102,3,12,3,3,80,1,32,2,1,0,0,0
No,569,STAFF-569,Male,Manager,No,3,27,Master's Degree,2,88,4,3,17046,9314,0,15,3,2,80,1,28,3,27,10,15,7
No,571,STAFF-571,Female,Laboratory Technician,No,4,11,Bachelor's Degree,3,49,1,4,2564,7181,0,14,3,3,80,0,12,2,11,7,6,7
No,573,STAFF-573,Female,Sales Executive,No,1,18,Bachelor's Degree,3,80,3,1,10266,2845,4,19,3,4,80,0,22,4,18,13,13,11
No,574,STAFF-574,Female,Manufacturing Director,No,4,5,Associates Degree,1,65,2,4,5070,7389,5,13,3,3,80,3,20,3,5,0,0,4
No,575,STAFF-575,Male,Research Director,No,3,3,Bachelor's Degree,1,51,4,3,17861,2288,6,13,3,3,80,0,26,1,3,2,0,1
No,577,STAFF-577,Male,Laboratory Technician,No,3,5,Bachelor's Degree,4,46,1,3,4230,19225,0,15,3,3,80,0,6,3,5,4,4,3
No,578,STAFF-578,Female,Laboratory Technician,No,3,1,Master's Degree,3,42,2,3,3780,23428,7,11,3,3,80,0,19,3,1,0,0,0
No,579,STAFF-579,Male,Research Scientist,No,3,7,Master's Degree,4,62,1,3,2768,8416,3,12,3,3,80,1,14,3,7,3,5,7
No,580,STAFF-580,Female,Sales Executive,Yes,4,3,Bachelor's Degree,3,94,3,4,9071,11563,2,19,3,3,80,1,15,3,3,2,1,2
No,581,STAFF-581,Male,Manufacturing Director,No,2,13,High School,3,33,3,2,10648,14394,1,25,4,4,80,1,13,4,13,8,0,8
Yes,582,STAFF-582,Male,Manager,Yes,3,7,High School,2,56,3,3,13610,24619,7,12,3,4,80,0,15,4,7,6,7,7
Yes,584,STAFF-584,Male,Laboratory Technician,No,4,4,High School,1,38,1,4,3408,6705,7,13,3,1,80,3,8,3,4,3,1,3
No,585,STAFF-585,Male,Sales Representative,No,2,3,High School,4,57,1,2,2983,18398,0,14,3,1,80,0,4,3,3,2,1,2
No,586,STAFF-586,Male,Healthcare Representative,Yes,3,8,Bachelor's Degree,4,72,3,3,7632,14295,4,12,3,3,80,0,10,3,8,7,0,0
Yes,587,STAFF-587,Male,Healthcare Representative,No,3,1,Bachelor's Degree,1,66,3,3,9824,22908,3,12,3,1,80,0,12,3,1,0,0,0
Yes,590,STAFF-590,Female,Human Resources,Yes,1,3,Bachelor's Degree,2,43,3,1,9950,11533,9,15,3,3,80,3,11,3,3,2,0,2
No,591,STAFF-591,Male,Laboratory Technician,No,3,2,Associates Degree,2,97,1,3,2093,9260,4,17,3,4,80,1,8,3,2,2,2,0
No,592,STAFF-592,Male,Sales Executive,No,4,10,Master's Degree,2,32,3,4,9980,15318,1,14,3,4,80,0,10,2,10,3,9,7
Yes,593,STAFF-593,Male,Laboratory Technician,No,3,2,High School,3,99,1,3,3894,9129,5,16,3,3,80,0,4,3,2,2,1,2
No,595,STAFF-595,Female,Sales Executive,No,4,9,Doctoral Degree,2,37,2,4,4051,19658,2,14,3,1,80,1,14,3,9,7,6,7
No,597,STAFF-597,Female,Manager,No,2,10,Doctoral Degree,1,83,4,2,16835,9873,3,23,4,4,80,0,37,3,10,9,7,7
No,599,STAFF-599,Male,Sales Executive,No,4,14,Associates Degree,4,56,2,4,6230,13430,7,14,3,4,80,0,16,3,14,3,1,10
No,600,STAFF-600,Male,Sales Executive,No,3,11,Bachelor's Degree,2,85,2,3,4717,18659,9,11,3,3,80,0,15,3,11,9,6,9
No,601,STAFF-601,Female,Manufacturing Director,No,3,20,Bachelor's Degree,2,75,4,3,13237,20364,7,15,3,3,80,0,22,3,20,6,5,13
No,602,STAFF-602,Female,Laboratory Technician,No,3,8,High School,3,48,1,3,3755,17872,1,11,3,1,80,1,8,3,8,3,0,7
No,604,STAFF-604,Male,Sales Executive,Yes,4,6,High School,2,77,2,4,6582,8346,4,13,3,3,80,0,10,4,6,5,0,5
No,605,STAFF-605,Male,Manufacturing Director,Yes,1,10,Bachelor's Degree,4,56,3,1,7406,6950,1,21,4,4,80,1,10,2,10,9,5,8
No,606,STAFF-606,Male,Sales Executive,No,2,8,Bachelor's Degree,4,61,2,2,4805,16177,0,19,3,2,80,1,9,4,8,7,3,7
Yes,608,STAFF-608,Female,Human Resources,Yes,3,7,Master's Degree,2,58,1,3,2741,22808,0,11,3,2,80,1,8,2,7,7,1,0
No,611,STAFF-611,Male,Manufacturing Director,No,4,3,Bachelor's Degree,4,34,2,4,4262,22645,4,12,3,2,80,2,8,4,3,2,1,2
No,612,STAFF-612,Female,Research Director,No,3,6,Doctoral Degree,1,95,4,3,16184,22578,4,19,3,3,80,1,10,3,6,1,0,5
No,613,STAFF-613,Male,Manager,No,4,5,Bachelor's Degree,3,44,3,4,11557,25291,9,21,4,3,80,1,10,2,5,4,0,1
Yes,614,STAFF-614,Male,Sales Representative,Yes,2,0,Bachelor's Degree,2,69,1,2,1878,8059,1,14,3,4,80,0,0,3,0,0,0,0
No,615,STAFF-615,Male,Sales Executive,No,1,1,Bachelor's Degree,3,58,3,1,10932,11373,3,15,3,3,80,1,20,3,1,0,0,1
No,616,STAFF-616,Female,Healthcare Representative,Yes,3,8,Master's Degree,1,62,2,3,6811,2112,2,17,3,1,80,0,10,3,8,7,0,7
No,618,STAFF-618,Male,Sales Executive,No,3,0,Associates Degree,1,45,2,3,4306,4267,5,12,3,1,80,2,8,3,0,0,0,0
No,620,STAFF-620,Female,Sales Executive,No,3,5,Bachelor's Degree,1,80,2,3,4859,6698,1,16,3,4,80,0,5,3,5,4,0,3
No,621,STAFF-621,Male,Sales Executive,No,4,10,Master's Degree,4,74,2,4,5337,19921,1,12,3,4,80,0,10,3,10,7,5,7
Yes,622,STAFF-622,Male,Laboratory Technician,Yes,4,1,Bachelor's Degree,3,66,1,4,2340,23213,1,18,3,2,80,0,1,1,1,0,0,0
No,623,STAFF-623,Female,Manufacturing Director,No,4,6,Bachelor's Degree,2,59,3,4,7491,23848,4,17,3,4,80,0,12,4,6,5,1,2
No,624,STAFF-624,Female,Healthcare Representative,No,3,2,High School,1,86,3,3,10527,8984,5,11,3,4,80,0,28,2,2,2,1,2
No,625,STAFF-625,Female,Manager,No,1,18,Doctoral Degree,2,91,4,1,16595,5626,7,16,3,2,80,1,22,3,18,16,11,8
No,626,STAFF-626,Male,Sales Executive,No,2,9,Master's Degree,1,69,3,2,8834,24666,1,13,3,4,80,1,9,3,9,5,7,7
No,630,STAFF-630,Male,Research Scientist,Yes,1,10,Associates Degree,4,78,2,1,5577,22087,3,12,3,2,80,2,18,3,10,9,6,9
Yes,631,STAFF-631,Male,Sales Executive,No,3,4,Master's Degree,4,60,2,3,4707,23914,8,12,3,4,80,0,6,3,4,2,1,2
No,632,STAFF-632,Male,Sales Representative,No,4,2,Bachelor's Degree,4,38,1,4,2400,5530,0,13,3,3,80,2,3,3,2,2,2,1
No,634,STAFF-634,Female,Healthcare Representative,No,3,1,Bachelor's Degree,3,76,2,3,9824,22174,3,19,3,3,80,1,18,3,1,0,0,0
No,635,STAFF-635,Female,Manufacturing Director,No,2,6,Master's Degree,2,65,2,2,6447,15701,6,12,3,2,80,1,8,2,6,5,4,3
No,638,STAFF-638,Male,Research Director,Yes,3,31,Master's Degree,4,58,5,3,19502,2125,1,17,3,3,80,1,31,3,31,9,0,9
No,639,STAFF-639,Male,Research Scientist,Yes,4,6,Bachelor's Degree,2,89,1,4,2725,21630,1,11,3,2,80,2,6,3,6,5,1,4
No,641,STAFF-641,Male,Sales Executive,No,2,5,Associates Degree,1,66,2,2,6272,7428,1,20,4,4,80,2,6,4,5,3,1,4
No,643,STAFF-643,Male,Laboratory Technician,No,2,1,Associates Degree,4,94,1,2,2127,9100,1,21,4,4,80,1,1,3,1,0,0,0
No,644,STAFF-644,Male,Manager,No,2,32,Bachelor's Degree,1,99,5,2,18200,7999,1,11,3,3,80,1,32,3,32,5,10,7
No,645,STAFF-645,Male,Sales Representative,No,3,7,High School,2,40,1,3,2096,26376,1,11,3,3,80,0,7,3,7,4,0,6
Yes,647,STAFF-647,Female,Laboratory Technician,Yes,3,6,Bachelor's Degree,1,55,1,3,2886,14168,1,16,3,4,80,1,6,3,6,3,1,2
Yes,648,STAFF-648,Male,Sales Representative,No,1,1,Master's Degree,2,74,1,1,2033,14470,1,18,3,3,80,1,1,4,1,0,0,0
No,649,STAFF-649,Male,Research Scientist,Yes,4,6,Associates Degree,2,83,1,4,3622,22794,1,13,3,4,80,1,6,3,6,5,1,3
Yes,650,STAFF-650,Male,Sales Executive,No,1,3,Master's Degree,2,46,2,1,4233,11512,2,17,3,3,80,0,9,1,3,1,1,2
No,652,STAFF-652,Male,Laboratory Technician,No,4,3,Associates Degree,1,54,2,4,3681,14004,4,14,3,4,80,0,9,3,3,2,0,2
No,653,STAFF-653,Male,Sales Executive,No,4,7,Master's Degree,1,66,2,4,5460,6219,4,22,4,4,80,2,13,4,7,7,5,7
No,655,STAFF-655,Female,Research Scientist,No,3,5,Master's Degree,1,66,1,3,2187,5013,0,12,3,3,80,2,6,2,5,3,0,3
No,656,STAFF-656,Male,Sales Executive,Yes,3,3,Bachelor's Degree,4,75,2,3,9602,3010,4,11,3,3,80,1,17,2,3,0,1,0
No,657,STAFF-657,Female,Research Scientist,No,2,1,Bachelor's Degree,4,83,1,2,2836,11757,1,13,3,4,80,0,1,4,1,0,0,0
No,659,STAFF-659,Female,Healthcare Representative,No,4,10,Master's Degree,3,81,2,4,4089,5718,1,13,3,2,80,2,10,3,10,2,2,2
No,661,STAFF-661,Male,Research Director,Yes,4,1,Master's Degree,2,50,4,4,16627,2671,4,14,3,3,80,1,21,2,1,0,0,0
No,662,STAFF-662,Female,Research Scientist,No,1,0,High School,3,43,1,1,2619,14561,3,17,3,4,80,0,8,2,0,0,0,0
No,663,STAFF-663,Male,Laboratory Technician,Yes,3,8,Doctoral Degree,4,72,2,3,5679,19627,3,13,3,2,80,1,10,3,8,7,4,7
No,664,STAFF-664,Female,Manager,No,1,3,Master's Degree,4,40,4,1,15402,17997,7,11,3,1,80,1,21,1,3,2,0,2
No,665,STAFF-665,Female,Human Resources,No,3,2,Master's Degree,1,50,2,3,5985,26894,4,11,3,2,80,0,10,4,2,2,0,2
No,666,STAFF-666,Female,Sales Representative,Yes,3,8,Bachelor's Degree,3,31,1,3,2579,2912,1,18,3,4,80,2,8,3,8,2,0,6
Yes,667,STAFF-667,Male,Sales Representative,No,1,4,High School,3,85,1,1,3041,16346,0,11,3,2,80,1,5,3,4,3,0,2
No,669,STAFF-669,Male,Sales Representative,No,3,3,High School,3,49,1,3,3447,24444,1,11,3,3,80,0,3,3,3,2,1,2
No,671,STAFF-671,Male,Manager,Yes,4,2,Master's Degree,4,35,5,4,19513,9358,4,12,3,1,80,1,26,4,2,2,0,1
No,675,STAFF-675,Male,Research Scientist,No,3,2,High School,1,69,1,3,2773,12145,0,20,4,4,80,0,3,3,2,2,2,2
No,677,STAFF-677,Male,Sales Executive,No,3,5,Master's Degree,3,39,2,3,7104,20431,0,12,3,4,80,0,6,3,5,0,1,2
No,679,STAFF-679,Female,Research Scientist,Yes,4,6,Master's Degree,1,92,2,4,6322,18089,1,12,3,4,80,1,6,2,6,4,0,5
No,680,STAFF-680,Female,Research Scientist,No,3,1,Bachelor's Degree,3,71,1,3,2083,22653,1,20,4,3,80,1,1,3,1,0,0,0
No,682,STAFF-682,Female,Sales Executive,No,1,14,High School,4,34,2,1,8381,7507,7,20,4,4,80,0,18,4,14,7,8,10
No,683,STAFF-683,Male,Research Scientist,No,4,10,Doctoral Degree,2,42,1,4,2691,7660,1,12,3,4,80,1,10,2,10,9,8,8
Yes,684,STAFF-684,Female,Sales Executive,No,1,1,Master's Degree,1,100,2,1,4286,5630,2,14,3,4,80,2,5,3,1,1,0,0
No,686,STAFF-686,Female,Laboratory Technician,Yes,4,3,Bachelor's Degree,3,71,1,4,2659,17759,1,13,3,3,80,1,3,3,3,2,0,2
No,689,STAFF-689,Male,Manufacturing Director,No,3,10,Bachelor's Degree,3,36,3,3,9434,9606,1,15,3,3,80,1,10,3,10,7,7,8
No,690,STAFF-690,Female,Sales Executive,No,3,6,Associates Degree,2,62,2,3,5561,3487,1,14,3,1,80,1,6,2,6,0,1,2
No,691,STAFF-691,Male,Research Scientist,No,4,17,Master's Degree,2,82,2,4,6646,19368,1,13,3,2,80,0,17,3,17,11,11,8
No,692,STAFF-692,Male,Healthcare Representative,No,4,13,Bachelor's Degree,3,30,2,4,7725,5335,3,23,4,3,80,1,15,1,13,11,4,7
No,698,STAFF-698,Male,Human Resources,No,2,9,Master's Degree,3,88,3,2,10725,6729,2,15,3,3,80,1,16,4,9,7,7,1
No,699,STAFF-699,Male,Manufacturing Director,Yes,2,3,Associates Degree,2,48,2,2,8847,13934,2,11,3,3,80,1,13,3,3,2,0,2
No,700,STAFF-700,Male,Research Scientist,No,4,4,Master's Degree,1,54,1,4,2045,15174,0,13,3,4,80,0,5,3,4,2,1,1
Yes,701,STAFF-701,Male,Research Scientist,Yes,3,1,High School,4,32,1,3,1009,26999,1,11,3,4,80,0,1,3,1,0,1,1
Yes,702,STAFF-702,Male,Research Scientist,Yes,1,10,Bachelor's Degree,1,70,1,1,3348,3164,1,11,3,1,80,0,10,3,10,8,9,7
No,704,STAFF-704,Male,Laboratory Technician,No,3,1,Bachelor's Degree,3,41,1,3,1281,16900,1,18,3,3,80,2,1,3,1,0,0,0
No,705,STAFF-705,Male,Research Scientist,No,1,3,Bachelor's Degree,1,58,1,1,2819,8544,2,16,3,1,80,1,5,4,3,2,0,2
No,707,STAFF-707,Male,Sales Executive,No,2,3,Bachelor's Degree,4,57,2,2,4851,15678,0,22,4,3,80,1,4,3,3,2,1,2
No,709,STAFF-709,Female,Sales Executive,No,4,7,Master's Degree,4,46,2,4,4028,7791,0,20,4,1,80,0,8,3,7,7,0,5
No,710,STAFF-710,Male,Research Scientist,No,4,10,Master's Degree,2,76,1,4,2720,18959,1,18,3,4,80,1,10,3,10,7,2,8
No,712,STAFF-712,Male,Sales Executive,No,2,2,High School,2,56,2,2,8120,18597,3,12,3,4,80,0,12,3,2,2,2,2
No,714,STAFF-714,Female,Sales Executive,Yes,4,6,High School,4,71,2,4,4647,16673,1,20,4,2,80,2,6,3,6,5,0,4
No,715,STAFF-715,Male,Research Scientist,No,4,1,Associates Degree,4,80,1,4,4680,15232,3,17,3,1,80,0,4,3,1,0,0,0
No,716,STAFF-716,Male,Laboratory Technician,Yes,3,20,High School,4,74,1,3,3221,3297,1,11,3,3,80,3,20,3,20,8,3,8
No,717,STAFF-717,Female,Healthcare Representative,No,2,8,Bachelor's Degree,4,46,3,2,8621,17654,1,14,3,2,80,0,9,4,8,7,7,7
Yes,720,STAFF-720,Female,Sales Executive,No,3,2,Associates Degree,1,65,2,3,4577,24785,9,14,3,1,80,0,4,3,2,2,2,0
No,721,STAFF-721,Female,Healthcare Representative,No,3,20,Master's Degree,4,80,2,3,4553,20978,1,11,3,1,80,0,20,3,20,7,11,10
No,722,STAFF-722,Male,Sales Executive,No,4,10,Bachelor's Degree,4,55,2,4,5396,21703,1,12,3,4,80,0,10,2,10,7,0,8
Yes,723,STAFF-723,Male,Sales Executive,Yes,3,4,Associates Degree,2,50,2,3,6796,23452,3,14,3,1,80,1,18,3,4,3,1,3
No,724,STAFF-724,Female,Healthcare Representative,No,4,9,Master's Degree,2,33,2,4,7625,19383,0,13,3,3,80,0,10,2,9,7,1,8
No,725,STAFF-725,Female,Manufacturing Director,No,1,9,Associates Degree,3,68,3,1,7412,6009,1,11,3,4,80,0,9,3,9,7,0,7
No,727,STAFF-727,Female,Research Director,No,4,7,Associates Degree,3,39,3,4,11159,19373,3,15,3,4,80,0,10,3,7,7,7,7
No,728,STAFF-728,Male,Sales Executive,No,1,7,Master's Degree,4,42,2,1,4960,11825,2,12,3,4,80,0,20,3,7,7,1,7
No,729,STAFF-729,Male,Sales Executive,Yes,1,18,Master's Degree,4,48,3,1,10475,23772,5,21,4,3,80,1,20,3,18,13,1,12
No,730,STAFF-730,Male,Research Director,No,3,5,Bachelor's Degree,3,59,4,3,14814,13514,3,19,3,3,80,0,32,3,5,1,1,3
No,731,STAFF-731,Male,Manager,No,4,21,Master's Degree,2,73,5,4,19141,8861,3,15,3,2,80,3,23,2,21,6,12,6
No,732,STAFF-732,Male,Sales Executive,No,1,2,Master's Degree,1,84,2,1,5405,11924,8,14,3,4,80,0,10,3,2,2,2,2
No,733,STAFF-733,Male,Manufacturing Director,No,1,9,Associates Degree,4,32,3,1,8793,4809,1,21,4,3,80,2,9,2,9,7,1,7
No,734,STAFF-734,Male,Manager,No,3,22,Bachelor's Degree,4,59,5,3,19189,19562,1,12,3,2,80,1,22,3,22,7,2,10
No,738,STAFF-738,Male,Sales Representative,No,2,2,Master's Degree,4,54,1,2,3875,9983,7,15,3,4,80,1,4,3,2,2,2,2
Yes,741,STAFF-741,Female,Research Scientist,Yes,2,7,Associates Degree,1,67,1,2,2216,3872,7,13,3,4,80,0,10,3,7,7,3,7
No,742,STAFF-742,Female,Research Director,No,1,8,Bachelor's Degree,1,63,3,1,11713,20335,9,14,3,1,80,1,10,3,8,7,0,5
No,743,STAFF-743,Female,Manufacturing Director,Yes,3,1,Bachelor's Degree,3,81,3,3,7861,15397,4,14,3,4,80,0,10,4,1,0,0,0
No,744,STAFF-744,Male,Laboratory Technician,No,3,5,Bachelor's Degree,1,49,1,3,3708,2104,2,14,3,3,80,0,9,3,5,2,1,4
No,746,STAFF-746,Female,Sales Executive,Yes,3,22,Bachelor's Degree,4,49,4,3,13770,10225,9,12,3,4,80,2,28,2,22,2,11,13
No,747,STAFF-747,Male,Sales Executive,No,4,8,Doctoral Degree,3,99,2,4,5304,25275,7,23,4,4,80,1,10,2,8,7,7,7
No,749,STAFF-749,Male,Sales Representative,No,3,1,Bachelor's Degree,3,99,1,3,2642,2755,1,11,3,3,80,0,1,3,1,0,0,0
Yes,752,STAFF-752,Male,Research Scientist,Yes,3,2,Bachelor's Degree,3,57,1,3,2759,20366,6,12,3,4,80,0,7,3,2,2,2,2
No,754,STAFF-754,Male,Sales Executive,No,4,2,Bachelor's Degree,4,47,2,4,6804,23683,3,18,3,3,80,1,7,3,2,2,2,2
No,757,STAFF-757,Female,Healthcare Representative,No,3,5,Associates Degree,2,96,2,3,6142,7360,3,11,3,4,80,0,10,3,5,1,4,3
No,758,STAFF-758,Male,Laboratory Technician,No,1,4,High School,2,37,1,1,2500,4344,1,14,3,4,80,1,5,4,4,3,0,2
No,760,STAFF-760,Female,Human Resources,No,2,8,Bachelor's Degree,3,44,2,2,6389,18767,9,15,3,3,80,1,12,1,8,3,3,6
No,762,STAFF-762,Male,Healthcare Representative,No,4,10,Bachelor's Degree,3,81,4,4,11103,20420,7,11,3,3,80,0,30,2,10,7,1,1
No,763,STAFF-763,Female,Research Scientist,Yes,4,4,High School,4,86,1,4,2342,22929,0,20,4,4,80,0,5,2,4,2,2,3
No,764,STAFF-764,Female,Healthcare Representative,No,1,7,Bachelor's Degree,4,55,2,1,6811,23398,8,19,3,1,80,0,9,1,7,6,0,7
